country,color,alcohol,grape,organic,price
Chile,White,15%,Sauvignon Blanc,Yes,6.75
South Africa,White,12%,Pinot Grigio,Yes,10.50
New Zealand,White,13%,Chardonnay,Yes,7.75
South Africa,Red,11%,Cabernet Sauvignon,Yes,12.00
Chile,White,10%,Sauvignon Blanc,Yes,17.50
Spain,Red,11%,Malbec,Yes,10.50
USA,White,11.5%,Pinot Grigio,No,6.50
Italy,Red,12%,Merlot,Yes,10.00
South Africa,Red,12%,Cabernet Sauvignon,Yes,9.00
Chile,White,13.5%,Blend,No,15.50
Chile,White,14.5%,Chardonnay,No,8.50
New Zealand,White,11.5%,Sauvignon Blanc,No,7.25
Australia,Red,14%,Blend,Yes,11.00
USA,Red,10%,Malbec,Yes,7.25
USA,Red,13.5%,Tempranillo,No,7.50
Spain,White,15%,Chenin Blanc,No,5.75
South Africa,White,15%,Blend,No,6.50
USA,Rosé,11.5%,Blend,No,6.50
Chile,Rosé,12.5%,Cabernet Sauvignon,Yes,17.00
Italy,White,10%,Chardonnay,No,13.00
USA,White,13%,Sauvignon Blanc,No,17.50
New Zealand,Rosé,15%,Blend,Yes,7.25
Chile,Red,10%,Malbec,Yes,6.75
France,Rosé,11.5%,Pinot Noir,Yes,8.75
Spain,Red,11%,Merlot,Yes,5.00
Australia,Red,14.5%,Merlot,No,8.50
Australia,White,11.5%,Blend,No,15.00
South Africa,White,12%,Chardonnay,Yes,6.25
New Zealand,Rosé,12%,Pinot Noir,No,13.00
Chile,White,14%,Chenin Blanc,Yes,11.00
USA,Rosé,12%,Pinot Noir,No,7.50
USA,White,13%,Chenin Blanc,Yes,5.00
Spain,Red,13.5%,Merlot,No,10.50
South Africa,White,10.5%,Pinot Grigio,No,7.75
USA,White,10%,Chardonnay,Yes,8.75
France,Red,14.5%,Pinot Noir,Yes,15.50
Australia,Rosé,12%,Blend,Yes,7.25
Spain,Red,15%,Cabernet Sauvignon,No,5.00
France,Red,12.5%,Blend,Yes,6.50
USA,Red,13%,Pinot Noir,Yes,10.00
Chile,White,15%,Blend,Yes,8.50
Italy,Red,13%,Cabernet Sauvignon,Yes,13.00
USA,Rosé,14%,Cabernet Sauvignon,Yes,16.50
Australia,White,10.5%,Chardonnay,No,16.50
South Africa,Rosé,10%,Blend,No,7.75
France,Red,11%,Cabernet Sauvignon,Yes,15.50
Australia,White,15%,Sauvignon Blanc,Yes,17.00
USA,Red,11.5%,Pinot Noir,Yes,6.25
South Africa,Rosé,10.5%,Cabernet Sauvignon,Yes,17.50
Chile,White,12.5%,Chenin Blanc,Yes,8.50
Australia,White,14.5%,Chenin Blanc,No,7.25
Australia,White,14.5%,Sauvignon Blanc,Yes,9.00
Chile,Rosé,11%,Pinot Noir,No,6.00
Italy,Rosé,15%,Merlot,Yes,12.00
France,Red,10%,Cabernet Sauvignon,No,16.50
Spain,White,12%,Chardonnay,Yes,15.50
France,Red,13.5%,Blend,Yes,6.25
Spain,White,13%,Blend,No,17.00
USA,Red,11.5%,Blend,Yes,15.50
Chile,Rosé,10%,Blend,No,6.00
USA,Rosé,10.5%,Merlot,No,15.50
USA,Red,10%,Blend,Yes,16.00
USA,White,14%,Pinot Grigio,No,16.50
Chile,Rosé,13.5%,Pinot Noir,No,16.50
France,Red,13%,Cabernet Sauvignon,No,12.00
USA,Red,14%,Cabernet Sauvignon,No,7.25
Italy,White,12%,Pinot Grigio,No,6.00
South Africa,White,13%,Sauvignon Blanc,No,6.25
Chile,Rosé,13.5%,Blend,Yes,14.00
New Zealand,White,14.5%,Pinot Grigio,Yes,6.75
Australia,Red,12%,Pinot Noir,No,6.25
USA,White,10%,Pinot Grigio,Yes,7.00
USA,White,15%,Blend,Yes,6.75
Australia,Rosé,11%,Malbec,No,14.00
Italy,Rosé,14%,Tempranillo,Yes,17.50
New Zealand,Red,14.5%,Malbec,No,10.00
South Africa,White,10%,Chenin Blanc,No,9.50
Italy,Red,13.5%,Tempranillo,Yes,13.50
Spain,Rosé,10.5%,Blend,Yes,17.50
Spain,Rosé,12.5%,Pinot Noir,Yes,4.50
Italy,Rosé,14%,Merlot,No,20.00
France,Rosé,10.5%,Pinot Noir,Yes,7.25
Italy,Red,13%,Malbec,No,6.50
Spain,Rosé,10.5%,Malbec,No,18.00
France,White,13%,Sauvignon Blanc,Yes,4.50
South Africa,White,10%,Chenin Blanc,No,6.50
South Africa,Rosé,14%,Cabernet Sauvignon,Yes,16.50
South Africa,Red,12%,Pinot Noir,No,8.75
Chile,Rosé,12.5%,Tempranillo,No,19.00
Chile,Red,13.5%,Merlot,Yes,4.50
Chile,Red,11%,Malbec,Yes,19.00
France,Rosé,15%,Cabernet Sauvignon,Yes,10.00
Australia,Red,10.5%,Cabernet Sauvignon,No,8.00
Chile,Red,15%,Malbec,Yes,5.50
New Zealand,Rosé,10%,Cabernet Sauvignon,Yes,19.50
Italy,White,11.5%,Chenin Blanc,Yes,20.00
Australia,Rosé,14.5%,Malbec,No,5.75
Spain,Rosé,10.5%,Malbec,No,10.00
USA,Red,13.5%,Blend,Yes,9.00
USA,White,12%,Chenin Blanc,No,16.50
South Africa,Red,14.5%,Cabernet Sauvignon,No,19.50
Spain,Rosé,12.5%,Malbec,No,5.75
Chile,Red,13%,Pinot Noir,Yes,15.50
Italy,White,12.5%,Sauvignon Blanc,Yes,15.00
France,Red,11%,Malbec,No,15.00
USA,Red,15%,Malbec,Yes,6.00
Spain,White,13.5%,Chardonnay,Yes,8.75
South Africa,Rosé,14.5%,Cabernet Sauvignon,No,16.50
Spain,Red,14.5%,Malbec,Yes,17.00
Spain,White,10%,Pinot Grigio,Yes,19.50
New Zealand,Red,12%,Malbec,Yes,5.75
Italy,Red,12.5%,Malbec,Yes,17.00
Italy,Rosé,14%,Cabernet Sauvignon,No,13.00
New Zealand,Rosé,14.5%,Blend,Yes,6.50
New Zealand,Red,11%,Pinot Noir,Yes,7.00
USA,Red,12.5%,Blend,Yes,7.75
France,White,10%,Pinot Grigio,No,6.25
USA,Red,11.5%,Blend,No,6.25
USA,Rosé,12.5%,Merlot,No,8.00
Spain,Red,14.5%,Malbec,No,17.50
South Africa,Red,15%,Pinot Noir,No,7.75
Chile,Red,10.5%,Blend,No,12.00
Australia,White,10.5%,Sauvignon Blanc,Yes,6.25
Chile,White,12%,Chenin Blanc,Yes,20.00
New Zealand,Red,11.5%,Pinot Noir,No,12.00
South Africa,Red,13.5%,Pinot Noir,No,6.50
Australia,White,10%,Chardonnay,Yes,13.50
New Zealand,White,10.5%,Sauvignon Blanc,No,15.00
France,White,12.5%,Sauvignon Blanc,No,17.00
Spain,Rosé,12.5%,Cabernet Sauvignon,No,6.75
New Zealand,Red,14.5%,Tempranillo,Yes,9.00
Italy,Rosé,10%,Pinot Noir,Yes,12.00
Spain,Red,14.5%,Malbec,Yes,14.00
New Zealand,Red,12.5%,Malbec,Yes,6.00
Italy,Red,12%,Cabernet Sauvignon,No,7.75
Spain,Red,12.5%,Cabernet Sauvignon,Yes,16.50
New Zealand,Red,12.5%,Tempranillo,No,8.75
Australia,Rosé,14%,Cabernet Sauvignon,Yes,8.50
USA,Rosé,12.5%,Pinot Noir,Yes,17.00
Italy,White,13.5%,Chardonnay,No,4.50
USA,Red,10%,Merlot,Yes,15.00
New Zealand,Rosé,13%,Cabernet Sauvignon,Yes,8.50
New Zealand,Red,10%,Blend,No,16.50
USA,Red,11.5%,Pinot Noir,No,10.00
New Zealand,Rosé,12%,Malbec,No,10.50
Italy,White,11.5%,Chardonnay,No,10.50
