page_type,question_id,question_type,question,battery_1,battery_2,battery_3,battery_4,battery_5,battery_6,battery_7,battery_8,battery_9,battery_10,battery_11,battery_12,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_9,option_10,option_11,option_12,option_13,option_14,option_15,option_16,option_17,option_18
first_page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
info_page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
consent_page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
section_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
question,drink_preference,bucket_list,Please rank the following drinks in order of most preferred to least preferred. You can do this by dragging your most preferred to the top of the list to the right and your least preferred to the bottom. You need to drag at least one option over.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wine,Beer,Spirits,Mixed drinks (e.g. Gin and Tonic),Other,I do not prefer any,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
question,wine_tasting,likert,Have you ever participated in a wine tasting event?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,I don’t know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"question,wine_knowledge,battery_randomized,""For each of the statements below, please indicate to what extent you agree or disagree with the statement."",I know almost everything about wine,I know how to judge the quality of wine,I know enough about wine to be confident when I make a purchase,I don’t feel very knowledgeable about wine,""In my group of friends, I am considered the wine expert"",""Compared to most people, I know less about wine"",""When it comes to wine, I really don’t know a lot"",I can tell if wine is worth the price or not,NA,NA,NA,NA,Strongly agree,Agree,Neither disagree nor agree,Disagree,Strongly disagree,I don’t know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
question,purchase_location,checkbox,Where do you normally purchase wine? Multiple answers are possible.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grocery store,Supermarket,Off-license,Winery,Specialty shop,Online,Restaurant,Pub,I do not buy wine,I prefer not to say,NA,NA,NA,NA,NA,NA,NA
"question,purchase_frequency,likert,How often do you purchase wine? Please choose the closest category that applies.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More than once a week,Once a week,""More than once a month, but less than once a week"",Once per month,""More than once a year, but less than once a month"",Once a year,Less than once a year,Never,Prefer not to say,NA,NA,NA,NA,NA,NA,NA,NA"
"question,drink_frequency,likert,How often do you drink wine? Please choose the closest category that applies.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,More than once a week,Once a week,""More than once a month, but less than once a week"",Once per month,""More than once a year, but less than once a month"",Once a year,Less than once a year,Never,Prefer not to say,NA,NA,NA,NA,NA,NA,NA,NA"
question,purchase_influence,battery_randomized,Please indicate the extent to which the following influence your wine purchasing decision?,Country of origin,Colour,Alcohol by volume,Grape variety,Characteristic of the wine,Whether the wine is organic,Price,Recommendation from a friend,Producer,The label on the bottle,Whether the wine is fairtrade,Wine reviews by experts,Never,Sometimes,Often,Always,I don’t know,I don’t buy wine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"question,wine_spend,likert,""On average, how much do you typically spend on a bottle of wine?"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Less than £5,£5.00 – £7.49,£7.50 – £9.99,£10.00 – £12.49,£12.50 – £14.99,£15.00 – £20.00,More than £20.00,I don’t buy wine,NA,NA,NA,NA,NA,NA,NA,NA,NA"
